endpoint,group,response resource,attribute,description
post+orgs_{org}_repos,template_repository.owner.avatar_url,simple-user,avatar_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""}"
post+orgs_{org}_repos,owner.url,simple-user,url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
post+orgs_{org}_repos,organization.url,simple-user,url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
post+orgs_{org}_repos,template_repository.owner.url,simple-user,url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
post+orgs_{org}_repos,template_repository.url,simple-user,url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
post+orgs_{org}_repos,owner.html_url,simple-user,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
post+orgs_{org}_repos,organization.html_url,simple-user,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
post+orgs_{org}_repos,template_repository.owner.html_url,simple-user,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
post+orgs_{org}_repos,template_repository.html_url,simple-user,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
post+orgs_{org}_repos,owner.followers_url,simple-user,followers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""}"
post+orgs_{org}_repos,organization.followers_url,simple-user,followers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""}"
post+orgs_{org}_repos,template_repository.owner.followers_url,simple-user,followers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""}"
post+orgs_{org}_repos,owner.following_url,simple-user,following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}"
post+orgs_{org}_repos,organization.following_url,simple-user,following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}"
post+orgs_{org}_repos,template_repository.owner.following_url,simple-user,following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}"
post+orgs_{org}_repos,owner.gists_url,simple-user,gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}"
post+orgs_{org}_repos,organization.gists_url,simple-user,gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}"
post+orgs_{org}_repos,template_repository.owner.gists_url,simple-user,gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}"
post+orgs_{org}_repos,owner.starred_url,simple-user,starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}"
post+orgs_{org}_repos,organization.starred_url,simple-user,starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}"
post+orgs_{org}_repos,template_repository.owner.starred_url,simple-user,starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}"
post+orgs_{org}_repos,owner.subscriptions_url,simple-user,subscriptions_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""}"
post+orgs_{org}_repos,organization.subscriptions_url,simple-user,subscriptions_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""}"
post+orgs_{org}_repos,template_repository.owner.subscriptions_url,simple-user,subscriptions_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""}"
post+orgs_{org}_repos,owner.organizations_url,simple-user,organizations_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""}"
post+orgs_{org}_repos,organization.organizations_url,simple-user,organizations_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""}"
post+orgs_{org}_repos,template_repository.owner.organizations_url,simple-user,organizations_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""}"
post+orgs_{org}_repos,owner.repos_url,simple-user,repos_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""}"
post+orgs_{org}_repos,organization.repos_url,simple-user,repos_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""}"
post+orgs_{org}_repos,template_repository.owner.repos_url,simple-user,repos_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""}"
post+orgs_{org}_repos,owner.events_url,simple-user,events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
post+orgs_{org}_repos,organization.events_url,simple-user,events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
post+orgs_{org}_repos,template_repository.owner.events_url,simple-user,events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
post+orgs_{org}_repos,template_repository.events_url,simple-user,events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
post+orgs_{org}_repos,owner.received_events_url,simple-user,received_events_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""}"
post+orgs_{org}_repos,organization.received_events_url,simple-user,received_events_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""}"
post+orgs_{org}_repos,template_repository.owner.received_events_url,simple-user,received_events_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""}"
post+orgs_{org}_repos,html_url,repository,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
post+orgs_{org}_repos,url,repository,url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/repos/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/repos/octocat/Hello-World""}"
post+orgs_{org}_repos,archive_url,repository,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}"
post+orgs_{org}_repos,assignees_url,repository,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}"
post+orgs_{org}_repos,blobs_url,repository,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}"
post+orgs_{org}_repos,branches_url,repository,branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}"
post+orgs_{org}_repos,collaborators_url,repository,collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}"
post+orgs_{org}_repos,comments_url,repository,comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}"
post+orgs_{org}_repos,commits_url,repository,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}"
post+orgs_{org}_repos,compare_url,repository,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}"
post+orgs_{org}_repos,contents_url,repository,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}"
post+orgs_{org}_repos,contributors_url,repository,contributors_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contributors""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contributors""}"
post+orgs_{org}_repos,deployments_url,repository,deployments_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/deployments""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/deployments""}"
post+orgs_{org}_repos,downloads_url,repository,downloads_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/downloads""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/downloads""}"
post+orgs_{org}_repos,forks_url,repository,forks_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/forks""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/forks""}"
post+orgs_{org}_repos,git_commits_url,repository,git_commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}"
post+orgs_{org}_repos,git_refs_url,repository,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}"
post+orgs_{org}_repos,git_tags_url,repository,git_tags_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/tags{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/tags{/sha}""}"
post+orgs_{org}_repos,git_url,repository,git_url,"{""type"": ""string"", ""example"": ""git:github.com/octocat/Hello-World.git""} schema: {""type"": ""string"", ""example"": ""git:github.com/octocat/Hello-World.git""}"
post+orgs_{org}_repos,issue_comment_url,repository,issue_comment_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/comments{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/comments{/number}""}"
post+orgs_{org}_repos,issue_events_url,repository,issue_events_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/events{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/events{/number}""}"
post+orgs_{org}_repos,issues_url,repository,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}"
post+orgs_{org}_repos,keys_url,repository,keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}"
post+orgs_{org}_repos,labels_url,repository,labels_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/labels{/name}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/labels{/name}""}"
post+orgs_{org}_repos,languages_url,repository,languages_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/languages""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/languages""}"
post+orgs_{org}_repos,merges_url,repository,merges_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/merges""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/merges""}"
post+orgs_{org}_repos,milestones_url,repository,milestones_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/milestones{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/milestones{/number}""}"
post+orgs_{org}_repos,notifications_url,repository,notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}"
post+orgs_{org}_repos,pulls_url,repository,pulls_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/pulls{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/pulls{/number}""}"
post+orgs_{org}_repos,releases_url,repository,releases_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/releases{/id}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/releases{/id}""}"
post+orgs_{org}_repos,ssh_url,repository,ssh_url,"{""type"": ""string"", ""example"": ""git@github.com:octocat/Hello-World.git""} schema: {""type"": ""string"", ""example"": ""git@github.com:octocat/Hello-World.git""}"
post+orgs_{org}_repos,stargazers_url,repository,stargazers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/stargazers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/stargazers""}"
post+orgs_{org}_repos,statuses_url,repository,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}"
post+orgs_{org}_repos,subscribers_url,repository,subscribers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/subscribers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/subscribers""}"
post+orgs_{org}_repos,subscription_url,repository,subscription_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/subscription""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/subscription""}"
post+orgs_{org}_repos,tags_url,repository,tags_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/tags""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/tags""}"
post+orgs_{org}_repos,teams_url,repository,teams_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/teams""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/teams""}"
post+orgs_{org}_repos,trees_url,repository,trees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/trees{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/trees{/sha}""}"
post+orgs_{org}_repos,clone_url,repository,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""} schema: {""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}"
post+orgs_{org}_repos,mirror_url,repository,mirror_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""git:git.example.com/octocat/Hello-World"", ""nullable"": true} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""git:git.example.com/octocat/Hello-World"", ""nullable"": true}"
post+orgs_{org}_repos,hooks_url,repository,hooks_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/hooks""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/hooks""}"
post+orgs_{org}_repos,svn_url,repository,svn_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://svn.github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://svn.github.com/octocat/Hello-World""}"
post+orgs_{org}_repos,homepage,repository,homepage,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com"", ""nullable"": true} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com"", ""nullable"": true}"
post+orgs_{org}_repos,pushed_at,repository,pushed_at,"{""type"": ""string"", ""format"": ""date-time"", ""example"": ""2011-01-26T19:06:43Z"", ""nullable"": true} schema: {""type"": ""string"", ""format"": ""date-time"", ""example"": ""2011-01-26T19:06:43Z"", ""nullable"": true}"
post+orgs_{org}_repos,created_at,repository,created_at,"{""type"": ""string"", ""format"": ""date-time"", ""example"": ""2011-01-26T19:01:12Z"", ""nullable"": true} schema: {""type"": ""string"", ""format"": ""date-time"", ""example"": ""2011-01-26T19:01:12Z"", ""nullable"": true}"
post+orgs_{org}_repos,updated_at,repository,updated_at,"{""type"": ""string"", ""format"": ""date-time"", ""example"": ""2011-01-26T19:14:43Z"", ""nullable"": true} schema: {""type"": ""string"", ""format"": ""date-time"", ""example"": ""2011-01-26T19:14:43Z"", ""nullable"": true}"
post+orgs_{org}_repos,starred_at,repository,starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""} schema: {""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""}"
post+orgs_{org}_repos,visibility,repository,visibility,"The repository visibility: public, private, or internal"
post+orgs_{org}_repos,events_url,repository,events_url,"{""type"": ""string"", ""format"": ""uri""}"
post+orgs_{org}_repos,owner.starred_at,simple-user,starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}"
post+orgs_{org}_repos,organization.starred_at,simple-user,starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}"
