endpoint,group,invariant,invariantType,variables,postmanAssertion,pptname
get+groups,subgroup_creation_level,"return.subgroup_creation_level one of { ""maintainer"", ""owner"" }",daikon.inv.unary.string.OneOfString,(return.subgroup_creation_level),"pm.expect([""maintainer"", ""owner""].includes(return_subgroup_creation_level)).to.be.true",/groups&/groups&get&200():::EXIT
get+groups,two_factor_grace_period,return.two_factor_grace_period >= 0,daikon.inv.unary.scalar.LowerBound,(return.two_factor_grace_period),pm.expect(return_two_factor_grace_period).to.be.at.least(0),/groups&/groups&get&200():::EXIT
get+groups,visibility,"return.visibility one of { ""internal"", ""private"", ""public"" }",daikon.inv.unary.string.OneOfString,(return.visibility),"pm.expect([""internal"", ""private"", ""public""].includes(return_visibility)).to.be.true",/groups&/groups&get&200():::EXIT
get+groups_{id}_issues,_links.award_emoji,return._links.self is a substring of return._links.award_emoji,daikon.inv.binary.twoString.StdString$SubString,"(return._links.award_emoji, return._links.self)",pm.expect(return__links_award_emoji.includes(return__links_self)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,_links.notes,return._links.self is a substring of return._links.notes,daikon.inv.binary.twoString.StdString$SubString,"(return._links.notes, return._links.self)",pm.expect(return__links_notes.includes(return__links_self)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,_links.project,return._links.project is a substring of return._links.self,daikon.inv.binary.twoString.StdString$SubString,"(return._links.project, return._links.self)",pm.expect(return__links_self.includes(return__links_project)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,array,"input.per_page >= size(return.array[])
size(input.assignee_username[]) <= size(return.array[])","daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntLessEqual","(input.per_page, size(return.array[..]))
(size(input.assignee_username[..]), size(return.array[..]))","pm.expect(input_per_page).to.be.at.least(return_array_size_array)
pm.expect(input_assignee_username_size_array).to.be.lte(return_array_size_array)","/groups/{id}/issues&/groups/{id}/issues&get&200%array():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200%array():::EXIT"
get+groups_{id}_issues,assignee.avatar_url,"LENGTH(return.assignee.avatar_url)==81
return.assignee.avatar_url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.assignee.avatar_url)
(return.assignee.avatar_url)","pm.expect(return_assignee_avatar_url).to.have.length(81)
pm.expect(return_assignee_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,assignee.id,"input.per_page > return.assignee.id
input.assignee_id >= return.assignee.id
return.assignee.id >= size(return.assignees[])","daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(input.per_page, return.assignee.id)
(input.assignee_id, return.assignee.id)
(return.assignee.id, size(return.assignees[..]))","pm.expect(input_per_page).to.be.greaterThan(return_assignee_id)
pm.expect(input_assignee_id).to.be.at.least(return_assignee_id)
pm.expect(return_assignee_id).to.be.at.least(return_assignees_size_array)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,assignee.state,"return.assignee.state == return.author.state
return.assignee.state == ""active""
LENGTH(return.assignee.state)==6","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.assignee.state, return.author.state)
(return.assignee.state)
(return.assignee.state)","pm.expect(return_assignee_state).to.eql(return_author_state)
pm.expect([""active""].includes(return_assignee_state)).to.be.true
pm.expect(return_assignee_state).to.have.length(6)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,assignee.web_url,return.assignee.username is a substring of return.assignee.web_url,daikon.inv.binary.twoString.StdString$SubString,"(return.assignee.web_url, return.assignee.username)",pm.expect(return_assignee_web_url.includes(return_assignee_username)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,assignees,"size(return.assignees[]) one of { 0, 1 }
size(input.assignee_username[]) >= size(return.assignees[])","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntGreaterEqual","(size(return.assignees[..]))
(size(input.assignee_username[..]), size(return.assignees[..]))","pm.expect([0, 1, 0].includes(return_assignees_size_array)).to.be.true
pm.expect(input_assignee_username_size_array).to.be.at.least(return_assignees_size_array)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,assignees.avatar_url,return.avatar_url is Url,daikon.inv.unary.string.IsUrl,(return.avatar_url),"pm.expect(return_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT
get+groups_{id}_issues,assignees.id,input.assignee_id >= return.id,daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.assignee_id, return.id)",pm.expect(input_assignee_id).to.be.at.least(return_id),/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT
get+groups_{id}_issues,assignees.web_url,return.username is a substring of return.web_url,daikon.inv.binary.twoString.StdString$SubString,"(return.web_url, return.username)",pm.expect(return_web_url.includes(return_username)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200&assignees():::EXIT
get+groups_{id}_issues,author.avatar_url,"LENGTH(return.author.avatar_url)==81
return.author.avatar_url is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.author.avatar_url)
(return.author.avatar_url)","pm.expect(return_author_avatar_url).to.have.length(81)
pm.expect(return_author_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,author.id,"return.author.id >= 1
return.author.id < return.id
return.author.id < return.project_id
return.author.id >= size(return.assignees[])","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntLessThan
daikon.inv.binary.twoScalar.IntLessThan
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.author.id)
(return.author.id, return.id)
(return.author.id, return.project_id)
(return.author.id, size(return.assignees[..]))","pm.expect(return_author_id).to.be.at.least(1)
pm.expect(return_author_id).to.be.lessThan(return_id)
pm.expect(return_author_id).to.be.lessThan(return_project_id)
pm.expect(return_author_id).to.be.at.least(return_assignees_size_array)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,author.state,"return.author.state == return.closed_by.state
return.author.state == ""active""
LENGTH(return.author.state)==6","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.author.state, return.closed_by.state)
(return.author.state)
(return.author.state)","pm.expect(return_author_state).to.eql(return_closed_by_state)
pm.expect([""active""].includes(return_author_state)).to.be.true
pm.expect(return_author_state).to.have.length(6)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,author.web_url,return.author.username is a substring of return.author.web_url,daikon.inv.binary.twoString.StdString$SubString,"(return.author.web_url, return.author.username)",pm.expect(return_author_web_url.includes(return_author_username)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,closed_at,"return.closed_at one of { ""2025-06-15T10:46:18.318Z"", ""2025-06-15T11:06:19.689Z"", ""2025-06-15T11:12:02.208Z"" }
LENGTH(return.closed_at)==24
return.closed_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.closed_at)
(return.closed_at)
(return.closed_at)","pm.expect([""2025-06-15T10:46:18.318Z"", ""2025-06-15T11:06:19.689Z"", ""2025-06-15T11:12:02.208Z""].includes(return_closed_at)).to.be.true
pm.expect(return_closed_at).to.have.length(24)
pm.expect(return_closed_at).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,closed_by.avatar_url,"return.closed_by.avatar_url == ""https://www.gravatar.com/avatar/e64c7d89f26bd1972efa854d13d7dd61?s=80&d=identicon""
LENGTH(return.closed_by.avatar_url)==81
return.closed_by.avatar_url is Url","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.closed_by.avatar_url)
(return.closed_by.avatar_url)
(return.closed_by.avatar_url)","pm.expect([""https://www.gravatar.com/avatar/e64c7d89f26bd1972efa854d13d7dd61?s=80&d=identicon""].includes(return_closed_by_avatar_url)).to.be.true
pm.expect(return_closed_by_avatar_url).to.have.length(81)
pm.expect(return_closed_by_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,closed_by.id,return.closed_by.id == 1,daikon.inv.unary.scalar.OneOfScalar,(return.closed_by.id),pm.expect([1].includes(return_closed_by_id)).to.be.true,/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,closed_by.name,"return.closed_by.name == ""Administrator""
LENGTH(return.closed_by.name)==13","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.closed_by.name)
(return.closed_by.name)","pm.expect([""Administrator""].includes(return_closed_by_name)).to.be.true
pm.expect(return_closed_by_name).to.have.length(13)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,closed_by.state,"return.closed_by.state == ""active""
LENGTH(return.closed_by.state)==6","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.closed_by.state)
(return.closed_by.state)","pm.expect([""active""].includes(return_closed_by_state)).to.be.true
pm.expect(return_closed_by_state).to.have.length(6)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,closed_by.username,"return.closed_by.username == ""root""
LENGTH(return.closed_by.username)==4
return.closed_by.username is a substring of return.closed_by.web_url","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.closed_by.username)
(return.closed_by.username)
(return.closed_by.username, return.closed_by.web_url)","pm.expect([""root""].includes(return_closed_by_username)).to.be.true
pm.expect(return_closed_by_username).to.have.length(4)
pm.expect(return_closed_by_web_url.includes(return_closed_by_username)).to.be.true","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,closed_by.web_url,"return.closed_by.web_url == ""http://localhost:30000/root""
LENGTH(return.closed_by.web_url)==27","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.closed_by.web_url)
(return.closed_by.web_url)","pm.expect([""http://localhost:30000/root""].includes(return_closed_by_web_url)).to.be.true
pm.expect(return_closed_by_web_url).to.have.length(27)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,confidential,input.confidential == return.confidential,daikon.inv.binary.twoScalar.IntEqual,"(input.confidential, return.confidential)",pm.expect(input_confidential).to.eql(return_confidential),/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,created_at,"LENGTH(return.created_at)==24
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","pm.expect(return_created_at).to.have.length(24)
pm.expect(return_created_at).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,downvotes,"return.downvotes == return.merge_requests_count
return.downvotes == return.task_completion_status.count
return.downvotes == return.task_completion_status.completed_count
return.downvotes == return.upvotes
return.downvotes == return.user_notes_count
return.downvotes == 0
return.downvotes <= return.time_stats.time_estimate
return.downvotes <= return.time_stats.total_time_spent
return.downvotes <= size(return.assignees[])","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual
daikon.inv.binary.twoScalar.IntLessEqual","(return.downvotes, return.merge_requests_count)
(return.downvotes, return.task_completion_status.count)
(return.downvotes, return.task_completion_status.completed_count)
(return.downvotes, return.upvotes)
(return.downvotes, return.user_notes_count)
(return.downvotes)
(return.downvotes, return.time_stats.time_estimate)
(return.downvotes, return.time_stats.total_time_spent)
(return.downvotes, size(return.assignees[..]))","pm.expect(return_downvotes).to.eql(return_merge_requests_count)
pm.expect(return_downvotes).to.eql(return_task_completion_status_count)
pm.expect(return_downvotes).to.eql(return_task_completion_status_completed_count)
pm.expect(return_downvotes).to.eql(return_upvotes)
pm.expect(return_downvotes).to.eql(return_user_notes_count)
pm.expect([0].includes(return_downvotes)).to.be.true
pm.expect(return_downvotes).to.be.lte(return_time_stats_time_estimate)
pm.expect(return_downvotes).to.be.lte(return_time_stats_total_time_spent)
pm.expect(return_downvotes).to.be.lte(return_assignees_size_array)","/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT"
get+groups_{id}_issues,due_date,return.due_date is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.due_date),pm.expect(return_due_date).to.match(/^(?:1\d{3}|20[01234][0-9]|2050|9999)[-/.](?:0[1-9]|1[012])[-/.](?:0[1-9]|[12][0-9]|3[01])$/),/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
get+groups_{id}_issues,has_tasks,return.has_tasks == false,daikon.inv.unary.scalar.OneOfScalar,(return.has_tasks),pm.expect(return_has_tasks).to.eql(false),/groups/{id}/issues&/groups/{id}/issues&get&200():::EXIT
